資源・ごみ収集日（資源とごみは収集日の朝8時までにお出しください）,,,,,,,
50音,町名,丁目,資源（週1回）,可燃ごみ（週2回）,不燃ごみ（月2回）,ペットボトル（月2回）,管轄清掃事務所
し,下馬,1・3～6,金曜日,月曜日・木曜日,1回目・3回目の火曜日,2回目・4回目の火曜日,世田谷
し,下馬,2,金曜日,月曜日・木曜日,2回目・4回目の火曜日,1回目・3回目の火曜日,世田谷
し,新町,1,月曜日,火曜日・金曜日,2回目・4回目の水曜日,1回目・3回目の水曜日,玉川
し,新町,2・3,金曜日,水曜日・土曜日,2回目・4回目の木曜日,1回目・3回目の木曜日,玉川
せ,成城,1～6,月曜日,火曜日・金曜日,2回目・4回目の水曜日,1回目・3回目の水曜日,砧
せ,成城,7～9,火曜日,水曜日・土曜日,1回目・3回目の木曜日,2回目・4回目の木曜日,砧
せ,瀬田,1・2,火曜日,水曜日・土曜日,1回目・3回目の月曜日,2回目・4回目の月曜日,玉川
せ,瀬田,3,木曜日,水曜日・土曜日,1回目・3回目の月曜日,2回目・4回目の月曜日,玉川
せ,瀬田,4・5,火曜日,水曜日・土曜日,2回目・4回目の月曜日,1回目・3回目の月曜日,玉川
せ,世田谷,1～4,火曜日,水曜日・土曜日,2回目・4回目の金曜日,1回目・3回目の金曜日,世田谷
そ,祖師谷,1・2,金曜日,水曜日・土曜日,2回目・4回目の月曜日,1回目・3回目の月曜日,砧
そ,祖師谷,3,火曜日,水曜日・土曜日,2回目・4回目の月曜日,1回目・3回目の月曜日,砧
そ,祖師谷,4～6,火曜日,水曜日・土曜日,1回目・3回目の木曜日,2回目・4回目の木曜日,砧
た,太子堂,1・2,金曜日,月曜日・木曜日,2回目・4回目の火曜日,1回目・3回目の火曜日,世田谷
た,太子堂,3,水曜日,月曜日・木曜日,1回目・3回目の土曜日,2回目・4回目の土曜日,世田谷
た,太子堂,4・5,月曜日,火曜日・金曜日,2回目・4回目の水曜日,1回目・3回目の水曜日,世田谷
た,代沢,1～3・5,水曜日,月曜日・木曜日,1回目・3回目の土曜日,2回目・4回目の土曜日,世田谷
た,代沢,4,月曜日,火曜日・金曜日,1回目・3回目の木曜日,2回目・4回目の木曜日,世田谷
た,代田,1,月曜日,火曜日・金曜日,1回目・3回目の木曜日,2回目・4回目の木曜日,世田谷
た,代田,2・5,水曜日,火曜日・金曜日,1回目・3回目の木曜日,2回目・4回目の木曜日,世田谷
た,代田,3,土曜日,火曜日・金曜日,2回目・4回目の水曜日,1回目・3回目の水曜日,世田谷
た,代田,4,土曜日,火曜日・金曜日,1回目・3回目の木曜日,2回目・4回目の木曜日,世田谷
た,代田,6,水曜日,月曜日・木曜日,2回目・4回目の土曜日,1回目・3回目の土曜日,世田谷
た,玉川,1・2,火曜日,水曜日・土曜日,1回目・3回目の月曜日,2回目・4回目の月曜日,玉川
た,玉川,3・4,火曜日,水曜日・土曜日,2回目・4回目の月曜日,1回目・3回目の月曜日,玉川
た,玉川台,1・2,火曜日,水曜日・土曜日,2回目・4回目の月曜日,1回目・3回目の月曜日,玉川
た,玉川田園調布,1・2,水曜日,月曜日・木曜日,2回目・4回目の金曜日,1回目・3回目の金曜日,玉川
た,玉堤,1・2,土曜日,月曜日・木曜日,2回目・4回目の火曜日,1回目・3回目の火曜日,玉川
ち,千歳台,1～6,金曜日,水曜日・土曜日,2回目・4回目の月曜日,1回目・3回目の月曜日,砧
つ,弦巻,1～5,火曜日,水曜日・土曜日,1回目・3回目の金曜日,2回目・4回目の金曜日,世田谷
と,等々力,1・2,土曜日,月曜日・木曜日,2回目・4回目の火曜日,1回目・3回目の火曜日,玉川
と,等々力,3,木曜日,火曜日・金曜日,1回目・3回目の土曜日,2回目・4回目の土曜日,玉川
と,等々力,4・5・6,土曜日,月曜日・木曜日,1回目・3回目の火曜日,2回目・4回目の火曜日,玉川
と,等々力,7,月曜日,火曜日・金曜日,1回目・3回目の水曜日,2回目・4回目の水曜日,玉川
と,等々力,8,月曜日,火曜日・金曜日,1回目・3回目の土曜日,2回目・4回目の土曜日,玉川
な,中町,1・5,木曜日,火曜日・金曜日,2回目・4回目の土曜日,1回目・3回目の土曜日,玉川
な,中町,2～4,木曜日,火曜日・金曜日,1回目・3回目の土曜日,2回目・4回目の土曜日,玉川
の,野毛,1～3,木曜日,火曜日・金曜日,2回目・4回目の土曜日,1回目・3回目の土曜日,玉川
の,野沢,1,金曜日,月曜日・木曜日,2回目・4回目の火曜日,1回目・3回目の火曜日,世田谷
の,野沢,2・3,金曜日,月曜日・木曜日,1回目・3回目の火曜日,2回目・4回目の火曜日,世田谷
の,野沢,4,月曜日,火曜日・金曜日,1回目・3回目の水曜日,2回目・4回目の水曜日,世田谷
は,八幡山,1～3,土曜日,月曜日・木曜日,1回目・3回目の火曜日,2回目・4回目の火曜日,砧
は,羽根木,1・2,土曜日,火曜日・金曜日,1回目・3回目の木曜日,2回目・4回目の木曜日,世田谷
ひ,東玉川,1・2,水曜日,月曜日・木曜日,1回目・3回目の金曜日,2回目・4回目の金曜日,玉川
ふ,深沢,1～4,月曜日,火曜日・金曜日,1回目・3回目の水曜日,2回目・4回目の水曜日,玉川
ふ,深沢,5,月曜日,火曜日・金曜日,1回目・3回目の土曜日,2回目・4回目の土曜日,玉川
ふ,深沢,6・7,月曜日,火曜日・金曜日,2回目・4回目の水曜日,1回目・3回目の水曜日,玉川
ふ,深沢,8,木曜日,火曜日・金曜日,2回目・4回目の水曜日,1回目・3回目の水曜日,玉川
ふ,船橋,1～7,金曜日,水曜日・土曜日,1回目・3回目の月曜日,2回目・4回目の月曜日,砧
ま,松原,1～5,土曜日,火曜日・金曜日,2回目・4回目の木曜日,1回目・3回目の木曜日,世田谷
ま,松原,6,土曜日,火曜日・金曜日,1回目・3回目の木曜日,2回目・4回目の木曜日,世田谷
み,三宿,1,金曜日,月曜日・木曜日,2回目・4回目の火曜日,1回目・3回目の火曜日,世田谷
み,三宿,2,水曜日,月曜日・木曜日,1回目・3回目の土曜日,2回目・4回目の土曜日,世田谷
み,南烏山,1・2・5,土曜日,月曜日・木曜日,2回目・4回目の火曜日,1回目・3回目の火曜日,砧
み,南烏山,3・4・6,水曜日,月曜日・木曜日,1回目・3回目の金曜日,2回目・4回目の金曜日,砧
み,宮坂,1・2,木曜日,水曜日・土曜日,1回目・3回目の月曜日,2回目・4回目の月曜日,世田谷
み,宮坂,3,木曜日,水曜日・土曜日,2回目・4回目の月曜日,1回目・3回目の月曜日,世田谷
よ,用賀,1,木曜日,水曜日・土曜日,1回目・3回目の月曜日,2回目・4回目の月曜日,玉川
よ,用賀,2,金曜日,水曜日・土曜日,2回目・4回目の木曜日,1回目・3回目の木曜日,玉川
よ,用賀,3・4,金曜日,水曜日・土曜日,1回目・3回目の木曜日,2回目・4回目の木曜日,玉川
わ,若林,1・2,月曜日,火曜日・金曜日,2回目・4回目の水曜日,1回目・3回目の水曜日,世田谷
わ,若林,3・4,火曜日,水曜日・土曜日,2回目・4回目の金曜日,1回目・3回目の金曜日,世田谷
わ,若林,5,土曜日,火曜日・金曜日,2回目・4回目の水曜日,1回目・3回目の水曜日,世田谷
